A1686;0
A1687;0
A1688;0
A1689;57
A169;248
A1690;4
A1691;49
A1692;75
A1693;104
A1694;74
A1695;77
A1696;40
A1697;14
A1698;81
A1699;62
A17;0
A1700;55
A1701;35
A1702;10
A1703;125
A1704;4
A1705;16
A1706;18
A1707;0
A1708;16
A1709;8
A171;38
A1710;1
A1711;17
A1712;0
A1713;0
A1714;5
A1715;4
A1716;0
A1717;0
A1718;0
A1719;0
A1720;0
A1721;2
A1722;4
A1723;1
A1724;0
A1725;0
A1726;23
A1727;0
A1728;1
A1729;0
A173;96
A1730;0
A1731;0
A1732;0
A1733;0
A1734;0
A1735;0
A1736;10
A1737;10
A1738;36
A1739;35
A174;75
A1740;81
A1741;46
A1742;8
A1743;10
A1744;4
A1745;0
A1746;16
A1747;1
A1748;15
A1749;0
A175;2
A1750;0
A1751;1
A1752;0
A1753;0
A1754;3
A1755;0
A1756;0
A1757;21
A1758;8
A1759;0
A176;8
A1760;1
A1761;0
A1762;0
A1763;0
A1764;0
A1765;0
A1766;0
A1767;1
A1768;0
A1769;2
A177;18
A1770;187
A1771;181
A1772;205
A1773;231
A1774;0
A1775;0
A1776;0
A1777;32
A1778;100
A1779;172
A178;33
A1780;263
A1781;361
A1782;8
A1783;2
A1784;54
A1785;156
A1786;99
A1787;46
A1788;70
A1789;947
A179;52
A1790;1072
A1791;45
A1792;240
A1793;176
A1794;363
A1795;511
A1796;658
A1797;0
A1798;410
A1799;189
A18;8
A180;62
A1800;183
A1801;110
A1802;382
A1803;0
A1804;101
A1805;92
A1806;74
A1807;136
A1808;105
A1809;86
A181;40
A1810;41
A1811;54
A1812;124
A1813;75
A1814;67
A1815;0
A1816;0
A1817;6
A1818;13
A1819;2
A1820;0
A1821;6
A1822;0
A1823;10
A1824;5
A1825;1
A1826;15
A1827;6
A1828;0
A1829;0
A183;18
A1830;0
A1831;19
A1832;9
A1833;29
A1834;29
A1835;27
A1836;30
A1837;2
A1838;24
A1839;0
A1840;23
A1841;45
A1842;14
A1843;15
A1844;14
A1845;17
A1846;9
A1847;16
A1848;5
A1849;13
A185;27
A1850;10
A1851;23
A1852;58
A1853;141
A1854;148
A1855;150
A1856;59
A1857;9
A1858;1
A1859;3
A1860;19
A1861;9
A1862;10
A1863;19
A1864;75
A1865;57
A1866;92
A1867;19
A1868;69
A1869;51
A187;26
A1870;67
A1871;99
A1872;150
A1873;174
A1874;22
A1875;44
A1876;152
A1877;5
A1878;171
A1879;44
A1880;42
A1881;23
A1882;22
A1883;22
A1884;25
A1885;33
A1886;28
A1887;0
A1888;30
A1889;0
A189;18
A1890;14
A1891;0
A1892;0
A1893;83
A1894;124
A1895;162
A1896;180
A1897;163
A1898;198
A1899;5
A19;14
A190;7
A1900;5
A1901;12
A1902;19
A1903;4
A1904;3
A1905;9
A1906;2
A1907;20
A1908;0
A1909;97
A191;45
A1910;114
A1911;30
A1912;30
A1913;0
A1914;0
A1915;10
A1916;16
A1917;70
A1918;71
A1919;15
A192;1
A1920;56
A1921;25
A1922;59
A1923;62
A1924;49
A1925;55
A1926;0
